[2026-06-05T08:41:48.486Z] GET http://localhost:5173/register → 200 (12ms, 628B)
[2026-06-05T08:41:48.508Z] GET http://localhost:5173/@vite/client → 200 (12ms, 209913B)
[2026-06-05T08:41:48.508Z] GET http://localhost:5173/src/main.tsx?t=1780648883377 → 200 (11ms, 1641B)
[2026-06-05T08:41:48.513Z] GET http://localhost:5173/@react-refresh → 200 (9ms, 111894B)
[2026-06-05T08:41:48.521Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=1547e3ed → 200 (1ms, 38303B)
[2026-06-05T08:41:48.521Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1547e3ed → 200 (19ms, 820982B)
[2026-06-05T08:41:48.521Z] GET http://localhost:5173/src/index.css?t=1780648883377 → 200 (17ms, 66780B)
[2026-06-05T08:41:48.521Z] GET http://localhost:5173/src/App.tsx?t=1780648883377 → 200 (18ms, 47536B)
[2026-06-05T08:41:48.521Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=1547e3ed → 200 (19ms, 10573B)
[2026-06-05T08:41:48.522Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (6ms, 3478B)
[2026-06-05T08:41:48.522Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-B-1-B7_t.js?v=1547e3ed → 200 (5ms, 7614B)
[2026-06-05T08:41:48.540Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=1547e3ed → 200 (28ms, 399015B)
[2026-06-05T08:41:48.540Z] GET http://localhost:5173/src/store/useAuthStore.ts → 200 (27ms, 6696B)
[2026-06-05T08:41:48.541Z] GET http://localhost:5173/src/store/useAppStore.ts → 200 (26ms, 46113B)
[2026-06-05T08:41:48.541Z] GET http://localhost:5173/src/components/layout/AppLayout.tsx → 200 (26ms, 5620B)
[2026-06-05T08:41:48.541Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=1547e3ed → 200 (27ms, 1109370B)
[2026-06-05T08:41:48.541Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=1547e3ed → 200 (27ms, 14630B)
[2026-06-05T08:41:48.568Z] GET http://localhost:5173/node_modules/.vite/deps/zustand.js?v=1547e3ed → 200 (2ms, 2013B)
[2026-06-05T08:41:48.568Z] GET http://localhost:5173/node_modules/.vite/deps/zustand_middleware.js?v=1547e3ed → 200 (2ms, 13983B)
[2026-06-05T08:41:48.569Z] GET http://localhost:5173/src/api/client.ts → 200 (1ms, 2437B)
[2026-06-05T08:41:48.569Z] GET http://localhost:5173/src/components/layout/Sidebar.tsx → 200 (1ms, 26534B)
[2026-06-05T08:41:48.569Z] GET http://localhost:5173/src/components/layout/Topbar.tsx → 200 (1ms, 17694B)
[2026-06-05T08:41:48.569Z] GET http://localhost:5173/src/components/ui/Toast.tsx → 200 (2ms, 7345B)
[2026-06-05T08:41:48.569Z] GET http://localhost:5173/src/lib/utils.ts → 200 (2ms, 4206B)
[2026-06-05T08:41:48.570Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=1547e3ed → 200 (1ms, 109976B)
[2026-06-05T08:41:48.571Z] GET http://localhost:5173/node_modules/.vite/deps/clsx.js?v=1547e3ed → 200 (?ms, 598B)
[2026-06-05T08:41:48.571Z] GET http://localhost:5173/node_modules/.vite/deps/tailwind-merge.js?v=1547e3ed → 200 (1ms, 91382B)
[2026-06-05T08:41:48.659Z] GET http://localhost:5173/src/pages/auth/RegisterPage.tsx?t=1780648883377 → 200 (4ms, 99857B)
[2026-06-05T08:42:07.505Z] GET http://localhost:5173/join?role=nurse&hospital=Vyasa+General+Hospital&token=abc123def456 → 200 (4ms, 628B)
[2026-06-05T08:42:07.513Z] GET http://localhost:5173/@vite/client → 304 (2ms, ?B)
[2026-06-05T08:42:07.513Z] GET http://localhost:5173/src/main.tsx?t=1780648883377 → 304 (4ms, ?B)
[2026-06-05T08:42:07.514Z] GET http://localhost:5173/@react-refresh → 304 (11ms, ?B)
[2026-06-05T08:42:07.515Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 304 (10ms, ?B)
[2026-06-05T08:42:07.517Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=1547e3ed → 200 (?ms, 38303B)
[2026-06-05T08:42:07.518Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1547e3ed → 200 (?ms, 820982B)
[2026-06-05T08:42:07.519Z] GET http://localhost:5173/src/index.css?t=1780648883377 → 304 (7ms, ?B)
[2026-06-05T08:42:07.519Z] GET http://localhost:5173/src/App.tsx?t=1780648883377 → 304 (7ms, ?B)
[2026-06-05T08:42:07.519Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=1547e3ed → 200 (4ms, 10573B)
[2026-06-05T08:42:07.523Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-B-1-B7_t.js?v=1547e3ed → 200 (?ms, 7614B)
[2026-06-05T08:42:07.524Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=1547e3ed → 200 (?ms, 14630B)
[2026-06-05T08:42:07.526Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=1547e3ed → 200 (?ms, 399015B)
[2026-06-05T08:42:07.526Z] GET http://localhost:5173/src/store/useAuthStore.ts → 304 (1ms, ?B)
[2026-06-05T08:42:07.526Z] GET http://localhost:5173/src/store/useAppStore.ts → 304 (2ms, ?B)
[2026-06-05T08:42:07.526Z] GET http://localhost:5173/src/components/layout/AppLayout.tsx → 304 (2ms, ?B)
[2026-06-05T08:42:07.526Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=1547e3ed → 200 (?ms, 1109370B)
[2026-06-05T08:42:07.527Z] GET http://localhost:5173/node_modules/.vite/deps/zustand.js?v=1547e3ed → 200 (?ms, 2013B)
[2026-06-05T08:42:07.528Z] GET http://localhost:5173/node_modules/.vite/deps/zustand_middleware.js?v=1547e3ed → 200 (?ms, 13983B)
[2026-06-05T08:42:07.528Z] GET http://localhost:5173/src/api/client.ts → 304 (?ms, ?B)
[2026-06-05T08:42:07.528Z] GET http://localhost:5173/src/components/layout/Sidebar.tsx → 304 (1ms, ?B)
[2026-06-05T08:42:07.528Z] GET http://localhost:5173/src/components/layout/Topbar.tsx → 304 (1ms, ?B)
[2026-06-05T08:42:07.528Z] GET http://localhost:5173/src/components/ui/Toast.tsx → 304 (1ms, ?B)
[2026-06-05T08:42:07.528Z] GET http://localhost:5173/src/lib/utils.ts → 304 (1ms, ?B)
[2026-06-05T08:42:07.528Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=1547e3ed → 200 (?ms, 109976B)
[2026-06-05T08:42:07.529Z] GET http://localhost:5173/node_modules/.vite/deps/clsx.js?v=1547e3ed → 200 (1ms, 598B)
[2026-06-05T08:42:07.530Z] GET http://localhost:5173/node_modules/.vite/deps/tailwind-merge.js?v=1547e3ed → 200 (?ms, 91382B)
[2026-06-05T08:42:07.580Z] GET http://localhost:5173/src/pages/auth/JoinPage.tsx → 200 (6ms, 45547B)
[2026-06-05T08:42:08.716Z] GET http://localhost:5173/login → 200 (3ms, 628B)
[2026-06-05T08:42:08.722Z] GET http://localhost:5173/@vite/client → 304 (1ms, ?B)
[2026-06-05T08:42:08.722Z] GET http://localhost:5173/src/main.tsx?t=1780648883377 → 304 (1ms, ?B)
[2026-06-05T08:42:08.723Z] GET http://localhost:5173/@react-refresh → 304 (4ms, ?B)
[2026-06-05T08:42:08.723Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 304 (5ms, ?B)
[2026-06-05T08:42:08.724Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=1547e3ed → 200 (1ms, 38303B)
[2026-06-05T08:42:08.725Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1547e3ed → 200 (?ms, 820982B)
[2026-06-05T08:42:08.725Z] GET http://localhost:5173/src/index.css?t=1780648883377 → 304 (3ms, ?B)
[2026-06-05T08:42:08.725Z] GET http://localhost:5173/src/App.tsx?t=1780648883377 → 304 (3ms, ?B)
[2026-06-05T08:42:08.726Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=1547e3ed → 200 (?ms, 10573B)
[2026-06-05T08:42:08.726Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-B-1-B7_t.js?v=1547e3ed → 200 (?ms, 7614B)
[2026-06-05T08:42:08.726Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=1547e3ed → 200 (1ms, 14630B)
[2026-06-05T08:42:08.730Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=1547e3ed → 200 (?ms, 399015B)
[2026-06-05T08:42:08.730Z] GET http://localhost:5173/src/store/useAuthStore.ts → 304 (1ms, ?B)
[2026-06-05T08:42:08.730Z] GET http://localhost:5173/src/store/useAppStore.ts → 304 (2ms, ?B)
[2026-06-05T08:42:08.730Z] GET http://localhost:5173/src/components/layout/AppLayout.tsx → 304 (3ms, ?B)
[2026-06-05T08:42:08.730Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=1547e3ed → 200 (1ms, 1109370B)
[2026-06-05T08:42:08.731Z] GET http://localhost:5173/node_modules/.vite/deps/zustand.js?v=1547e3ed → 200 (?ms, 2013B)
[2026-06-05T08:42:08.731Z] GET http://localhost:5173/node_modules/.vite/deps/zustand_middleware.js?v=1547e3ed → 200 (?ms, 13983B)
[2026-06-05T08:42:08.732Z] GET http://localhost:5173/src/api/client.ts → 304 (1ms, ?B)
[2026-06-05T08:42:08.733Z] GET http://localhost:5173/src/components/layout/Sidebar.tsx → 304 (?ms, ?B)
[2026-06-05T08:42:08.733Z] GET http://localhost:5173/src/components/layout/Topbar.tsx → 304 (?ms, ?B)
[2026-06-05T08:42:08.733Z] GET http://localhost:5173/src/components/ui/Toast.tsx → 304 (?ms, ?B)
[2026-06-05T08:42:08.733Z] GET http://localhost:5173/src/lib/utils.ts → 304 (1ms, ?B)
